step 0: train loss 4.1676, val loss 4.1649
iter 265: loss 2.4919, time 26.68ms, mfu 0.05%
iter 266: loss 2.4309, time 25.47ms, mfu 0.05%
iter 267: loss 2.3593, time 26.86ms, mfu 0.05%
iter 268: loss 2.5305, time 26.22ms, mfu 0.05%
iter 269: loss 2.4659, time 26.50ms, mfu 0.05%
iter 270: loss 2.4113, time 26.54ms, mfu 0.05%
iter 271: loss 2.4783, time 27.20ms, mfu 0.05%
iter 272: loss 2.4249, time 30.17ms, mfu 0.05%
iter 273: loss 2.3985, time 28.84ms, mfu 0.05%
iter 274: loss 2.4074, time 27.70ms, mfu 0.05%
iter 275: loss 2.4255, time 28.68ms, mfu 0.05%
iter 276: loss 2.4109, time 27.92ms, mfu 0.05%
iter 277: loss 2.3893, time 29.69ms, mfu 0.05%
iter 278: loss 2.3850, time 28.14ms, mfu 0.05%
iter 279: loss 2.3723, time 28.85ms, mfu 0.05%
iter 280: loss 2.3816, time 28.53ms, mfu 0.05%
iter 281: loss 2.4727, time 29.74ms, mfu 0.05%
iter 282: loss 2.4090, time 28.36ms, mfu 0.05%
iter 283: loss 2.4207, time 28.51ms, mfu 0.05%
iter 284: loss 2.3995, time 28.89ms, mfu 0.05%
iter 285: loss 2.4388, time 29.24ms, mfu 0.05%
iter 286: loss 2.4539, time 30.51ms, mfu 0.04%
iter 287: loss 2.4223, time 30.46ms, mfu 0.04%
iter 288: loss 2.4318, time 28.86ms, mfu 0.04%
iter 289: loss 2.3911, time 28.77ms, mfu 0.04%
iter 290: loss 2.4047, time 29.73ms, mfu 0.04%
iter 291: loss 2.3190, time 28.98ms, mfu 0.04%
iter 292: loss 2.3932, time 28.86ms, mfu 0.04%
iter 293: loss 2.3870, time 27.46ms, mfu 0.04%
iter 294: loss 2.3249, time 27.69ms, mfu 0.04%
iter 295: loss 2.4377, time 27.67ms, mfu 0.04%
iter 296: loss 2.3251, time 27.96ms, mfu 0.04%
iter 297: loss 2.3947, time 28.53ms, mfu 0.04%
iter 298: loss 2.3473, time 27.88ms, mfu 0.04%
iter 299: loss 2.3979, time 28.19ms, mfu 0.04%
iter 300: loss 2.3445, time 28.04ms, mfu 0.04%
iter 301: loss 2.2896, time 27.72ms, mfu 0.05%
iter 302: loss 2.4536, time 27.08ms, mfu 0.05%
iter 303: loss 2.4029, time 27.75ms, mfu 0.05%
iter 304: loss 2.4922, time 27.70ms, mfu 0.05%
iter 305: loss 2.4145, time 27.05ms, mfu 0.05%
iter 306: loss 2.3809, time 27.64ms, mfu 0.05%
iter 307: loss 2.3502, time 27.86ms, mfu 0.05%
iter 308: loss 2.4315, time 28.62ms, mfu 0.05%
iter 309: loss 2.4291, time 27.75ms, mfu 0.05%
iter 310: loss 2.3552, time 27.60ms, mfu 0.05%
iter 311: loss 2.4020, time 26.85ms, mfu 0.05%
iter 312: loss 2.4580, time 25.52ms, mfu 0.05%
iter 313: loss 2.4396, time 25.52ms, mfu 0.05%
iter 314: loss 2.4781, time 25.22ms, mfu 0.05%
iter 315: loss 2.4414, time 25.51ms, mfu 0.05%
iter 316: loss 2.4493, time 25.09ms, mfu 0.05%
iter 317: loss 2.3038, time 25.48ms, mfu 0.05%
iter 318: loss 2.3875, time 24.68ms, mfu 0.05%
iter 319: loss 2.4151, time 24.81ms, mfu 0.05%
iter 320: loss 2.4118, time 24.63ms, mfu 0.05%
iter 321: loss 2.3831, time 24.56ms, mfu 0.05%
iter 322: loss 2.3895, time 26.51ms, mfu 0.05%
iter 323: loss 2.4039, time 25.55ms, mfu 0.05%
iter 324: loss 2.3999, time 24.69ms, mfu 0.05%
iter 325: loss 2.3670, time 25.14ms, mfu 0.05%
iter 326: loss 2.4708, time 26.30ms, mfu 0.05%
iter 327: loss 2.3674, time 27.05ms, mfu 0.05%
iter 328: loss 2.3829, time 26.29ms, mfu 0.05%
iter 329: loss 2.3273, time 25.49ms, mfu 0.05%
iter 330: loss 2.3290, time 26.64ms, mfu 0.05%
iter 331: loss 2.4172, time 26.38ms, mfu 0.05%
iter 332: loss 2.3458, time 25.18ms, mfu 0.05%
iter 333: loss 2.4178, time 26.15ms, mfu 0.05%
iter 334: loss 2.3937, time 25.36ms, mfu 0.05%
iter 335: loss 2.3914, time 25.54ms, mfu 0.05%
iter 336: loss 2.4209, time 27.06ms, mfu 0.05%
iter 337: loss 2.3201, time 26.70ms, mfu 0.05%
